Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,81.53638814,81.14558473,82.72357724,69.81285598,72.79693487,73.16239316,73.16239316,90.25641026,88.0952381,88.14814815,88.14814815,87.63888889,73.81864623,89.70149254,86.97270471,86.97270471,86.54320988,86.01226994,86.69108669,86.20689655,82.65524625,88.70116156,93.68421053,93.71727749,93.75,89.98054475,76.35253054,80.42488619,66.96629213,63.11418685,62.08791209,64.7592068,62.20551378,78.40501792,79.64824121,80.61101028,77.6188996,75.40904716,65.34318902,67.95742338,70.90780393,60.7994842,58.02093476,53.17510549,53.17492831,,,,,
Albania,ALB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,57.14285714,62.06896552,66.21621622,68.42105263,71.91011236,74.50980392,76.52173913,77.41935484,78.83211679,79.40780619,81.33333333,83.00132802,84.65608466,73.68845843,67.6835081,79.53388171,76.22298066,73.77008032,74.65437788,86.40776699,92.14248298,95.05008839,93.90762256,95.68637402,93.98613906,95.72049482,96.17444529,96.32021922,97.32915822,96.14901632,95.30831099,93.95398609,97.85657051,97.5026757,98.71394452,98.31643736,97.48251748,100,99.98077662,99.98678647,98.59222143,100,100,100,100,,,,,
Andorra,AND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,31.51160545,30.13801182,25.79215652,27.06300718,25.19792334,24.57250593,24.18343658,21.58238372,18.53200635,16.11584086,14.16454137,12.24680156,10.1907344,9.23054983,8.153372284,7.605308286,7.902717512,7.362399605,7.509520835,7.198072,6.650108843,5.731800866,5.351827894,5.285136342,5.047281952,5.264614718,5.135948395,4.776225313,4.814721096,4.389361345,4.497026965,3.651062581,3.810623947,3.758900254,4.322860237,3.970781835,3.963724139,3.179269043,3.106962893,3.547523256,3.249061367,3.210025349,3.390736923,2.834908479,2.438455516,,,,,
United Arab Emirates,ARE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Argentina,ARG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,6.53572638,5.943254564,11.22988635,17.98926655,17.72484068,16.59054805,17.78915867,23.18597835,28.32018278,38.14033144,37.80993331,44.10820839,42.83189545,44.21118178,45.61139954,42.87288533,41.97044524,28.77349462,25.66767635,35.23058731,30.25007926,34.68799771,38.76023126,42.4155518,40.03879728,32.87891399,38.749343,35.717181,26.58481116,32.36306377,41.08417023,42.44964655,36.74128002,30.38985674,32.23402944,35.51076552,28.27072569,25.01315746,27.7774588,26.81318506,30.64258423,27.23204082,29.36913099,29.60793966,26.24157509,,,,,
Armenia,ARM,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00675545,16.24632198,33.8071968,68.19698173,62.1067515,34.50818198,25.29771484,23.05523304,24.82636085,20.99002974,21.16482041,16.84943429,30.04167422,36.02981276,33.13432836,28.06712047,30.71873422,31.41742964,31.14384749,35.60218656,39.37759975,33.49932705,28.89497262,28.18417639,25.70322581,28.28567765,,,,,
American Samoa,ASM,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
